step,test_loss_step
0,0.2950495481491089
1,0.29680395126342773
2,0.34193575382232666
3,0.2939368486404419
4,0.3191804885864258
5,0.3126174807548523
6,0.3276429772377014
7,0.31415772438049316
8,0.32551687955856323
9,0.31357985734939575
10,0.3203698992729187
11,0.35703516006469727
12,0.3540167808532715
13,0.33069396018981934
14,0.3161706328392029
15,0.386478066444397
16,0.3367440700531006
17,0.33273768424987793
18,0.30840420722961426
19,0.29635006189346313
20,0.306251585483551
21,0.33547651767730713
22,0.29440945386886597
23,0.3110474944114685
24,0.3371509313583374
25,0.3232076168060303
26,0.2899433374404907
27,0.32122594118118286
28,0.3161752223968506
29,0.305015504360199
30,0.3232511281967163
31,0.2875632047653198
32,0.3323174715042114
33,0.3355650305747986
34,0.3017721176147461
35,0.33308589458465576
36,0.3379442095756531
37,0.3013591766357422
38,0.33587169647216797
39,0.3291730284690857
40,0.31036072969436646
41,0.3001139760017395
42,0.3338031768798828
43,0.4444921016693115
44,0.4119088649749756
45,0.32741302251815796
46,0.3806656002998352
47,0.32367610931396484
48,0.3827303647994995
49,0.3700053095817566
50,0.37577587366104126
51,0.3355344533920288
52,0.30398130416870117
53,0.38896429538726807
54,0.3224891424179077
55,0.339785635471344
56,0.3370068669319153
57,0.35370105504989624
58,0.40160250663757324
59,0.34253519773483276
60,0.368644118309021
61,0.35991793870925903
62,0.39498257637023926
63,0.31134212017059326
64,0.4001728892326355
65,0.30379974842071533
66,0.33693623542785645
67,0.3192657232284546
68,0.38893353939056396
69,0.4042785167694092
70,0.3218061327934265
71,0.3848453760147095
72,0.4414161443710327
73,0.30208754539489746
74,0.3558475971221924
75,0.40911048650741577
76,0.3696690797805786
77,0.37230199575424194
78,0.33405935764312744
79,0.3777139186859131
80,0.31641364097595215
81,0.34309643507003784
82,0.28731125593185425
83,0.3203165531158447
84,0.31096208095550537
85,0.29538923501968384
86,0.2884715795516968
87,0.29742109775543213
88,0.32571280002593994
89,0.29786384105682373
90,0.32686740159988403
91,0.32620859146118164
92,0.31366777420043945
