epoch,step,train_loss_epoch,train_loss_step,val_IoU,val_MaP,val_loss_epoch,val_loss_step
0,49,,0.35083818435668945,,,,
0,99,,0.3360905647277832,,,,
0,149,,0.3678988218307495,,,,
0,199,,0.37147998809814453,,,,
0,249,,0.31190580129623413,,,,
0,299,,0.3549351692199707,,,,
0,349,,0.296214759349823,,,,
0,399,,0.33727091550827026,,,,
0,449,,0.3188455104827881,,,,
0,499,,0.3173640966415405,,,,
0,549,,0.3162119388580322,,,,
0,599,,0.376181960105896,,,,
0,649,,0.33305811882019043,,,,
0,699,,0.3729970455169678,,,,
0,749,,0.29229795932769775,,,,
,0,,,,,,0.28115880489349365
,1,,,,,,0.30552148818969727
,2,,,,,,0.32593095302581787
,3,,,,,,0.3633348345756531
,4,,,,,,0.3409996032714844
,5,,,,,,0.3754537105560303
,6,,,,,,0.3319082260131836
,7,,,,,,0.32335197925567627
,8,,,,,,0.2818242907524109
,9,,,,,,0.3486131429672241
,10,,,,,,0.3967810869216919
,11,,,,,,0.28864753246307373
,12,,,,,,0.2906937599182129
,13,,,,,,0.32965731620788574
,14,,,,,,0.3397974967956543
,15,,,,,,0.36130350828170776
,16,,,,,,0.3462873697280884
,17,,,,,,0.3357914686203003
,18,,,,,,0.3086521029472351
,19,,,,,,0.3295546770095825
,20,,,,,,0.3209066390991211
,21,,,,,,0.3299427032470703
,22,,,,,,0.3179786205291748
,23,,,,,,0.3528331518173218
,24,,,,,,0.36535531282424927
,25,,,,,,0.32820606231689453
,26,,,,,,0.3249354362487793
,27,,,,,,0.2766968011856079
,28,,,,,,0.32323360443115234
,29,,,,,,0.335534930229187
,30,,,,,,0.3494831323623657
,31,,,,,,0.31003516912460327
,32,,,,,,0.32523971796035767
,33,,,,,,0.30846917629241943
,34,,,,,,0.2839171886444092
,35,,,,,,0.2985590696334839
,36,,,,,,0.28935766220092773
,37,,,,,,0.3596019744873047
,38,,,,,,0.30908679962158203
,39,,,,,,0.2948561906814575
,40,,,,,,0.33203738927841187
,41,,,,,,0.2985724210739136
,42,,,,,,0.32638657093048096
,43,,,,,,0.3399638533592224
,44,,,,,,0.34711265563964844
,45,,,,,,0.3047311305999756
,46,,,,,,0.3348602056503296
,47,,,,,,0.3117186427116394
,48,,,,,,0.2960240840911865
,49,,,,,,0.30203402042388916
,50,,,,,,0.33119380474090576
,51,,,,,,0.3070300817489624
,52,,,,,,0.34072649478912354
,53,,,,,,0.3334125280380249
,54,,,,,,0.3382415771484375
,55,,,,,,0.32046210765838623
,56,,,,,,0.29936492443084717
